( tel_0001 " aa taruwaata haidaraabaaduku badilii ayyaadxu ")
( tel_0002 " ii graamaqloo prajala pradhaana wrqtti wyawasaayaq ")
( tel_0003 " kutbullaapuur aaqdhra pradeish raasxtxramulooni raqgaaredxdxi jillaaku ceqdina oka maqdxalamu ")
( tel_0004 " jnjaanapiitxha puraskaaraq grahiita wishwanaatha satyanaaraayanxa ")
( tel_0005 " ii graamamu koosgi nuqci madduuru welxlxu maargamuloo kaladu ")
( tel_0006 " ikkadxa keiwalaq aidawa taragati waraku maatramei paatxhashaala saukaryaq uqdi ")
( tel_0007 " wikiipiidxiyaa sabhyulu rawicaqdra mariyu kaasubaabu mariyu wikiipiidxiyaa yokka ajnjaata sabhyulu yokka krqtipai aadhaaritaq ")
( tel_0008 " railu rawaanxaa wyawastha parimaanxaq kramaqloo deishaala jaabitaa ikkadxa iwwabadxiqdi ")
( tel_0009 " hiqduu saqghaq oka kulaala kuutxami ")
( tel_0010 " dayaceisi eidoo oka peijiiki liqku petxtxaqdxi ")
( tel_0011 " jillaaloo mukhyamaina graamaalaloo idi okatxi ")
( tel_0012 " diini dwaaraa cutxtxu prakkala padi graamaalaku niitxi sarapharaa jarugutunnadi ")
( tel_0013 " oka wyaasaq srqsxtxi mariyu leidaa wistaranxa ")
( tel_0014 " ikkadxiki dxhillii beqgalxuuru haidaraabaadu nuqdxi neirugaa wimaana seiwalu unnaayi ")
( tel_0015 " udaaharanxaku wikiipiidxiyaatolagiqpu koraku wyaasaalu peijiiloo jarigei carca ")
( tel_0016 " naaku chaalaa aanaqdaq gaa wuqdi ")
( tel_0017 " alaagei bommalu elaa aploodxu ceyyaali ")
( tel_0018 " bommalu waadxei widhaanaq peijiilanu oka saari cadawaqdxi ")
( tel_0019 " ii uuru wijayawaadxa ku caalaa daggara ")
( tel_0020 " diininei prastutaq paata maskatx leidaa paata nagaraq ani kuudxaa aqtxaaru ")
( tel_0021 " kadxapa jillaa aaqdhrapradeish looni jillaa ")
( tel_0022 " wikiipiidxiyaaloo waadxei bommalaku pratyeikaqgaa oo laisensu paddhati uqdxoccu ")
( tel_0023 " kaalxidaasu oka goppa saqskrqta kawi mariyu naatxaka karta ")
( tel_0024 " adei samayaqloo prasiddha tamilxa sinii darshakudxu ke. baalacaqdar too aayanaku anubaqdhaq eirpadxiqdi ")
( tel_0025 " eqdukaqtxei kamyuunistxu paartxii guriqci weirei wyaasaq ippatxiki leidu ganuka ")
( tel_0026 " ii wyaasamu kamyuunijaq anei raajakiiya mariyu saamaajika siddhaaqtamu guriqci maatramei ")
( tel_0027 " ii citraqloo akkineini naageishwararaawu mariyu aar. naageishwararaawula madhya pooraatxa sanniweishaalanu atyaqta sahajaqgaa adbhutaqgaa citriikariqcaaru ")
( tel_0028 " kannadxa karnxaatxaka raasxtxra adhikaara bhaasxa ")
( tel_0029 " ii muusa wikiipiidxiyaaku saqbaqdhiqcina muusa ")
( tel_0030 " aayana peijii aayana swaqta aaloocana ")
( tel_0031 " mana raasxtxraqloo idi okkatxei wyawasaaya iqjaniiriqg kalxaashaala ")
( tel_0032 " ippudxu miiru ilaa saqtakaq ceistei mii kotta saqtakaq kanabadxutuqdi ")
( tel_0033 " kaawaalani nalupu raqgu liqkulu uqcitei tappa ")
( tel_0034 " kaani wiiri guriqcina aadhaaraalu caalaa takkuwa ")
( tel_0035 " ii graamamu loo wari pradhaana paqtxa ")
( tel_0036 " waralaksxmii wrataq anna peijiiloo waralaksxmii wrataq sinimaa waralaksxmii wrataq paqdxuga unnaayi ")
( tel_0037 " idi oka widhamaina bhautika carya ")
( tel_0038 " peijiiloo miiru ceisina widhaqgaa prayoogaalu ceyyadxaq wikiipiidxiyaaloo awasaraq ")
( tel_0039 " wiiri dwaaraa oka praadhamika paatxhashaala oka haiskuulu oka ai. txi. ai. nadxupabadxutunnaayi ")
( tel_0040 " amerikaaloo ati praaciina prabhutwa saaqskrqtika saqstha ")
( tel_0041 " idei aame aakhari atyunnata pratibha ")
( tel_0042 " koostaa aaqdhra telaqgaanxa mariyu raayalasiima ")
( tel_0043 " daggaralooni railu stxeisxan raajamaqdxri leidaa kaakinaadxa ")
( tel_0044 " telugu sinimaa raqgamuloo gummadxi gaa prasiddhi ceqdina gummadxi weqkatxeishwararaawu ")
( tel_0045 " kootxa tuurpu goodaawari jillaa raamawaraq maqdxalaaniki ceqdina graamamu ")
( tel_0046 " ii graamaqloo praathamika paatxhashaalalu muudxu kalawu ")
( tel_0047 " graamaqloo saraina maqciniitxi wasati leidu ")
( tel_0048 " ii adxawiloo caalaa rakaala atxawii jaqtuwulu mariyu paksxulu unnaayi ")
( tel_0049 " kulkacarla aaqdhra pradeish raasxtxramulooni raqgaaredxdxi jillaaku ceqdina oka maqdxalamu ")
( tel_0050 " paqcaayat raaj maqtritwa shaakha websaitxuloo kadxapa jillaa taaluukaala wiwaraalu ")
( tel_0051 " wiwaraalu deishaala jaabitaa saqpada aadaayaq jana wistaranxa kramaqloo ")
( tel_0052 " miiru ei saaphtxweir waadxataaru saayii ")
